Median Age,Smoking history,Current drinker,Obesity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Mortality
69,52,0,0,0,249,66,72,59,34,47,0,0,0
70,18,0,0,0,77,25,22,17,8,20,0,0,0
68,13,0,0,0,62,15,20,15,12,8,0,0,0
69,21,0,0,0,110,26,30,27,14,19,0,0,0
63,889,0,2377,3226,1927,1026,308,342,34,0,285,0,0
56,63,122,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,5,2,0,0,0,1,0,0,0,0
79,0,0,13,0,21,46,21,0,0,23,21,0,0
74,0,0,6,0,11,17,8,0,0,8,9,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,7,4,4,0,3,2,0,2,0,0
68,0,0,0,2,2,2,0,1,1,0,0,0,1
69,0,0,0,5,2,2,0,2,1,0,2,0,0
66,1332,0,0,1161,764,489,0,214,0,0,306,0,0
46,0,0,0,49,24,11,13,0,13,2,1,14,0
25,0,0,0,1,0,0,0,0,0,0,0,0,0
43,0,0,0,23,11,4,8,0,10,0,4,11,0
58,0,0,0,18,9,7,2,0,3,1,0,3,0
62,0,0,0,7,4,0,3,0,0,1,0,1,0
64,0,0,21,134,99,31,21,0,0,0,0,0,0
61,0,0,16,83,60,15,14,0,0,0,0,0,0
70,0,0,1,34,26,13,4,0,0,0,0,0,1
46,705,0,1454,1544,1252,225,202,0,0,0,142,780,0
62,0,0,0,40,19,13,0,5,0,0,0,0,0
52,0,0,0,12,7,4,0,1,0,0,0,0,0
